Time_(s),Current_(A),Current_Std_Dev_(A),Control_Temperature_(K),Sample_Temperature_(K)
1.003,9.56e-05,,410,410
15.475,9.56e-05,,410,410
31.548,9.57e-05,,410,410
48.007,9.57e-05,,410,410
64.083,9.57e-05,,410,410
80.041,9.57e-05,,410,410
96.24,9.57e-05,,410,410
112.246,9.57e-05,,410,410
128.503,9.58e-05,,410,410
144.552,9.58e-05,,410,410
160.491,9.58e-05,,410,410
176.285,9.59e-05,,410,410
192.376,9.58e-05,,410,410
208.326,9.55e-05,,410,410
224.422,9.55e-05,,410,410
240.211,9.55e-05,,410,410
256.178,9.55e-05,,410,410
272.358,9.56e-05,,410,410
288.579,9.56e-05,,410,410
305.409,9.57e-05,,410,410
321.389,9.57e-05,,410,410
337.485,9.57e-05,,410,410
353.721,9.58e-05,,410,410
370.983,9.58e-05,,410,410
387.146,9.58e-05,,410,410
403.295,9.58e-05,,410,410
419.257,9.58e-05,,410,410
435.331,9.58e-05,,410,410
451.609,9.59e-05,,410,410
468.144,9.59e-05,,410,410
485.467,9.6e-05,,410,410
501.495,9.6e-05,,410,410
517.847,9.6e-05,,410,410
533.801,9.61e-05,,410,410
549.916,9.61e-05,,410,410
566.193,9.62e-05,,410,410
582.537,9.62e-05,,410,410
598.854,9.62e-05,,410,410
615.195,9.63e-05,,410,410
630.921,9.63e-05,,410,410
646.901,9.63e-05,,410,410
662.833,9.63e-05,,410,410
679.139,9.63e-05,,410,410
695.198,9.64e-05,,410,410
711.677,9.64e-05,,410,410
727.771,9.65e-05,,410,410
743.803,9.66e-05,,410,410
759.701,9.66e-05,,410,410
776.015,9.66e-05,,410,410
792.617,9.67e-05,,410,410
808.624,9.67e-05,,410,410
824.621,9.67e-05,,410,410
840.599,9.68e-05,,410,410
856.313,9.68e-05,,410,410
872.378,9.68e-05,,410,410
888.493,9.69e-05,,410,410
904.496,9.69e-05,,410,410
921.083,9.7e-05,,410,410
937.247,9.7e-05,,410,410
955.22,9.71e-05,,410,410
973.203,9.72e-05,,410,410
990.633,9.72e-05,,410,410
1006.562,9.72e-05,,410,410
1022.539,9.71e-05,,410,410
1039.473,9.71e-05,,410,410
1055.692,9.71e-05,,410,410
1071.698,9.72e-05,,410,410
1087.678,9.72e-05,,410,410
1103.763,9.73e-05,,410,410
1120.105,9.73e-05,,410,410
1135.952,9.73e-05,,410,410
1152.004,9.73e-05,,410,410
1167.989,9.73e-05,,410,410
1184.034,9.74e-05,,410,410
1199.946,9.74e-05,,410,410
1215.917,9.74e-05,,410,410
1231.991,9.75e-05,,410,410
1248.05,9.75e-05,,410,410
1264.497,9.75e-05,,410,410
1280.303,9.75e-05,,410,410
1296.457,9.76e-05,,410,410
1312.484,9.76e-05,,410,410
1328.588,9.76e-05,,410,410
1344.626,9.77e-05,,410,410
1360.79,9.77e-05,,410,410
1376.961,9.77e-05,,410,410
1394.366,9.77e-05,,410,410
1410.629,9.78e-05,,410,410
1426.669,9.78e-05,,410,410
1443.488,9.78e-05,,410,410
1459.443,9.79e-05,,410,410
1475.706,9.79e-05,,410,410
1491.681,9.79e-05,,410,410
1507.457,9.79e-05,,410,410
1523.712,9.8e-05,,410,410
1539.948,9.8e-05,,410,410
1556.695,9.8e-05,,410,410
1572.759,9.81e-05,,410,410
1588.571,9.81e-05,,410,410
1604.561,9.81e-05,,410,410
1620.37,9.82e-05,,410,410
1636.124,9.82e-05,,410,410
1652.577,9.82e-05,,410,410
1668.342,9.82e-05,,410,410
1684.629,9.83e-05,,410,410
1700.388,9.83e-05,,410,410
1717.791,9.84e-05,,410,410
1733.582,9.84e-05,,410,410
1750.154,9.84e-05,,410,410
1766.487,9.85e-05,,410,410
1782.416,9.85e-05,,410,410
1799.213,9.85e-05,,410,410
1816.362,9.85e-05,,410,410
1832.433,9.86e-05,,410,410
1849.049,9.86e-05,,410,410
1865.135,9.86e-05,,410,410
1882.429,9.87e-05,,410,410
1898.403,9.87e-05,,410,410
1914.768,9.87e-05,,410,410
1930.79,9.87e-05,,410,410
1947.165,9.87e-05,,410,410
1963.497,9.88e-05,,410,410
1979.483,9.89e-05,,410,410
1995.56,9.89e-05,,410,410
2011.498,9.89e-05,,410,410
2027.519,9.89e-05,,410,410
2043.807,9.89e-05,,410,410
2059.591,9.9e-05,,410,410
2076.537,9.9e-05,,410,410
2092.531,9.9e-05,,410,410
2108.808,9.91e-05,,410,410
2126.139,9.91e-05,,410,410
2143.186,9.92e-05,,410,410
2158.943,9.92e-05,,410,410
2174.811,9.92e-05,,410,410
2190.976,9.92e-05,,410,410
2207.623,9.92e-05,,410,410
2223.703,9.92e-05,,410,410
2240.178,9.93e-05,,410,410
2256.938,9.93e-05,,410,410
2272.836,9.93e-05,,410,410
2289.018,9.93e-05,,410,410
2304.982,9.94e-05,,410,410
2321.011,9.94e-05,,410,410
2336.968,9.94e-05,,410,410
2354.072,9.94e-05,,410,410
2370.216,9.95e-05,,410,410
2386.09,9.95e-05,,410,410
2402.033,9.95e-05,,410,410
2418.394,9.95e-05,,410,410
2434.626,9.95e-05,,410,410
2451.071,9.96e-05,,410,410
2467.427,9.96e-05,,410,410
2483.574,9.96e-05,,410,410
2499.478,9.96e-05,,410,410
2516.108,9.96e-05,,410,410
2532.838,9.96e-05,,410,410
2549.35,9.96e-05,,410,410
2566.066,9.97e-05,,410,410
2582.757,9.97e-05,,410,410
2598.719,9.98e-05,,410,410
2615.136,9.98e-05,,410,410
2631.614,9.98e-05,,410,410
2647.634,9.98e-05,,410,410
2664.978,9.98e-05,,410,410
2681.072,9.98e-05,,410,410
2697.242,9.98e-05,,410,410
2714.142,9.98e-05,,410,410
2730.173,9.99e-05,,410,410
2746.514,9.99e-05,,410,410
2762.503,9.99e-05,,410,410
2778.624,9.99e-05,,410,410
2796.046,9.99e-05,,410,410
2812.474,0.0001,,410,410
2829.067,0.0001,,410,410
2845.157,0.000100012,,410,410
2861.136,0.0001,,410,410
2877.894,0.000100015,,410,410
2895.38,0.00010002,,410,410
2912.622,0.000100041,,410,410
2928.744,0.000100041,,410,410
2945.079,0.000100038,,410,410
2961.219,0.000100028,,410,410
2977.682,0.000100032,,410,410
2994.738,0.000100053,,410,410
3010.663,0.000100085,,410,410
3027.102,0.000100095,,410,410
3043.072,0.000100103,,410,410
3059.788,0.000100121,,410,410
3076.289,0.000100136,,410,410
3092.028,0.000100168,,410,410
3108.099,0.000100142,,410,410
3123.97,0.000100136,,410,410
3140.357,0.000100167,,410,410
3157.478,0.0001002,,410,410
3173.386,0.000100203,,410,410
3189.859,0.00010022,,410,410
3206.612,0.000100212,,410,410
3222.675,0.000100222,,410,410
3239.246,0.000100246,,410,410
3255.284,0.000100262,,410,410
3271.615,0.000100286,,410,410
3288.534,0.000100301,,410,410
3305.486,0.000100302,,410,410
3321.925,0.000100311,,410,410
3338.588,0.000100329,,410,410
3354.603,0.000100361,,410,410
3371.069,0.000100387,,410,410
3388.004,0.000100402,,410,410
3405.258,0.000100444,,410,410
3421.096,0.000100442,,410,410
3437.373,0.000100425,,410,410
3453.553,0.000100417,,410,410
3469.718,0.000100466,,410,410
3485.858,0.000100491,,410,410
3502.441,0.000100499,,410,410
3518.741,0.000100494,,410,410
3535.272,0.000100503,,410,410
3551.783,0.000100561,,410,410
3557.409,0.000100575,,410,410
3590.123,0.000100615,,410,410
3606.305,0.000100634,,410,410
3622.274,0.000100626,,410,410
3639.434,0.000100633,,410,410
3656.051,0.000100634,,410,410
3672.525,0.000100629,,410,410
3688.95,0.000100665,,410,410
3705.442,0.000100707,,410,410
3721.891,0.000100703,,410,410
3737.911,0.000100718,,410,410
3754.567,0.000100714,,410,410
3770.751,0.00010073,,410,410
3786.777,0.000100773,,410,410
3803.385,0.000100792,,410,410
3819.798,0.000100805,,410,410
3836.006,0.00010081,,410,410
3852.25,0.000100807,,410,410
3868.59,0.000100819,,410,410
3885.038,0.000100851,,410,410
3901.986,0.000100898,,410,410
3918.03,0.000100909,,410,410
3934.396,0.000100939,,410,410
