Time_(s),Current_(A),Current_Std_Dev_(A),Control_Temperature_(K),Sample_Temperature_(K)
362.527,8.89e-05,1.83e-09,450,450
363.991,8.89e-05,1.96e-09,450,450
365.564,8.89e-05,5.66e-09,450,450
367.045,8.89e-05,4.47e-09,450,450
368.624,8.9e-05,2.75e-09,450,450
370.113,8.9e-05,1.64e-09,450,450
371.587,8.9e-05,2.81e-09,450,450
373.357,8.9e-05,3.53e-09,450,450
374.843,8.9e-05,6.75e-10,450,450
376.316,8.9e-05,3.36e-09,450,450
377.822,8.9e-05,5.54e-09,450,450
379.855,8.9e-05,8.76e-10,450,450
381.258,8.91e-05,4.52e-09,450,450
382.789,8.91e-05,2.58e-09,450,450
384.208,8.91e-05,2.83e-09,450,450
385.727,8.91e-05,2.73e-09,450,450
387.261,8.91e-05,2.72e-09,450,450
388.788,8.91e-05,3.5e-09,450,450
390.366,8.91e-05,5.34e-09,450,450
391.808,8.91e-05,4.72e-09,450,450
393.252,8.91e-05,1.77e-09,450,450
394.708,8.92e-05,3.37e-09,450,450
396.188,8.92e-05,5.66e-09,450,450
397.666,8.92e-05,2.53e-09,450,450
399.112,8.92e-05,3.41e-09,450,450
400.603,8.92e-05,4.95e-09,450,450
402.05,8.92e-05,3.05e-09,450,450
403.68,8.92e-05,4.58e-09,450,450
405.226,8.92e-05,2.58e-09,450,450
406.695,8.92e-05,2.99e-09,450,450
408.136,8.93e-05,3.86e-09,450,450
409.578,8.93e-05,2.76e-09,450,450
411.029,8.93e-05,2.66e-09,450,450
412.514,8.93e-05,3.16e-09,450,450
413.948,8.93e-05,2.64e-09,450,450
415.458,8.93e-05,2.84e-09,450,450
417.41,8.93e-05,6.32e-10,450,450
419.04,8.93e-05,2.2e-09,450,450
420.603,8.93e-05,3.3e-09,450,450
422.102,8.94e-05,2.64e-09,450,450
423.67,8.94e-05,3.85e-09,450,450
425.128,8.94e-05,2.59e-09,450,450
426.674,8.94e-05,4.79e-09,450,450
428.201,8.94e-05,3.24e-09,450,450
429.813,8.94e-05,4.56e-09,450,450
431.308,8.94e-05,4.22e-09,450,450
432.837,8.94e-05,1.16e-09,450,450
434.317,8.94e-05,1.49e-09,450,450
435.918,8.95e-05,2.07e-09,450,450
437.491,8.95e-05,3.08e-09,450,450
439.003,8.95e-05,4.16e-09,450,450
440.57,8.95e-05,2.86e-09,450,450
442.013,8.95e-05,4.6e-09,450,450
443.583,8.95e-05,4e-09,450,450
445.047,8.95e-05,3.05e-09,450,450
446.664,8.96e-05,3.41e-09,450,450
448.102,8.96e-05,1.43e-09,450,450
449.644,8.96e-05,1.64e-09,450,450
451.136,8.96e-05,5.07e-09,450,450
452.653,8.96e-05,3.11e-09,450,450
454.142,8.96e-05,1.96e-09,450,450
455.77,8.96e-05,6e-09,450,450
457.431,8.96e-05,4.23e-09,450,450
458.963,8.96e-05,1.51e-09,450,450
460.496,8.97e-05,2.63e-09,450,450
461.981,8.97e-05,5.99e-09,450,450
463.522,8.97e-05,1.84e-09,450,450
465.034,8.97e-05,1.37e-09,450,450
466.586,8.97e-05,3.83e-09,450,450
468.118,8.97e-05,3.24e-09,450,450
469.766,8.97e-05,4.09e-09,450,450
471.308,8.97e-05,3e-09,450,450
472.842,8.98e-05,3.61e-09,450,450
474.317,8.98e-05,3.77e-09,450,450
475.799,8.98e-05,2.32e-09,450,450
477.328,8.98e-05,1.4e-09,450,450
478.863,8.98e-05,4.82e-09,450,450
480.422,8.98e-05,2.67e-09,450,450
481.907,8.98e-05,1.96e-09,450,450
483.394,8.98e-05,3.65e-09,450,450
484.879,8.98e-05,2.98e-09,450,450
486.37,8.98e-05,1.32e-09,450,450
487.785,8.99e-05,3.17e-09,450,450
489.233,8.99e-05,4.2e-09,450,450
490.737,8.99e-05,3.82e-09,450,450
492.205,8.99e-05,5.25e-09,450,450
493.728,8.99e-05,2.4e-09,450,450
495.177,8.99e-05,4.59e-09,450,450
496.718,8.99e-05,4.32e-09,450,450
498.161,9e-05,4.7e-09,450,450
500.164,9e-05,3e-09,450,450
501.726,9e-05,2.26e-09,450,450
503.173,9e-05,3.27e-09,450,450
504.734,9e-05,5.58e-09,450,450
506.19,9e-05,4.55e-09,450,450
507.639,9e-05,2.88e-09,450,450
509.117,9e-05,2.05e-09,450,450
510.622,9.01e-05,3.66e-09,450,450
512.056,9.01e-05,1.78e-09,450,450
513.566,9.01e-05,2.41e-09,450,450
515.019,9.01e-05,2.07e-09,450,450
516.487,9.01e-05,3.54e-09,450,450
517.966,9.01e-05,3.2e-09,450,450
519.517,9.01e-05,1.81e-09,450,450
520.976,9.01e-05,4.08e-09,450,450
522.5,9.01e-05,5.68e-10,450,450
524.668,9.01e-05,4.36e-09,450,450
526.159,9.02e-05,2.83e-09,450,450
527.658,9.02e-05,3.27e-09,450,450
529.096,9.02e-05,2.28e-09,450,450
530.587,9.02e-05,3.53e-09,450,450
532.047,9.02e-05,4.11e-09,450,450
533.496,9.02e-05,2.5e-09,450,450
534.89,9.02e-05,2.88e-09,450,450
536.455,9.03e-05,4.55e-09,450,450
537.934,9.03e-05,3.17e-09,450,450
539.481,9.03e-05,3.62e-09,450,450
540.951,9.03e-05,2.28e-09,450,450
542.469,9.03e-05,2.45e-09,450,450
