Time_(s),Current_(A),Current_Std_Dev_(A),Control_Temperature_(K),Sample_Temperature_(K)
5.099,7.64e-05,,405,405
31.82,7.65e-05,,405,405
36.804,7.65e-05,,405,405
63.49,7.67e-05,,405,405
68.451,7.67e-05,,405,405
95.259,7.69e-05,,405,405
100.254,7.69e-05,,405,405
126.919,7.71e-05,,405,405
131.884,7.71e-05,,405,405
158.616,7.71e-05,,405,405
163.57,7.71e-05,,405,405
190.358,7.72e-05,,405,405
195.362,7.73e-05,,405,405
222.146,7.74e-05,,405,405
227.319,7.74e-05,,405,405
254.216,7.75e-05,,405,405
259.174,7.75e-05,,405,405
286.035,7.77e-05,,405,405
291.266,7.77e-05,,405,405
318.214,7.78e-05,,405,405
323.192,7.78e-05,,405,405
350.299,7.79e-05,,405,405
355.246,7.8e-05,,405,405
382.315,7.81e-05,,405,405
387.566,7.81e-05,,405,405
414.271,7.82e-05,,405,405
419.862,7.82e-05,,405,405
446.727,7.83e-05,,405,405
451.676,7.83e-05,,405,405
478.556,7.84e-05,,405,405
484.256,7.85e-05,,405,405
511.164,7.86e-05,,405,405
516.155,7.86e-05,,405,405
542.889,7.87e-05,,405,405
548.41,7.87e-05,,405,405
575.676,7.88e-05,,405,405
580.641,7.88e-05,,405,405
607.392,7.89e-05,,405,405
612.346,7.89e-05,,405,405
639.327,7.91e-05,,405,405
644.284,7.91e-05,,405,405
671.104,7.92e-05,,405,405
676.204,7.92e-05,,405,405
702.939,7.93e-05,,405,405
708.446,7.93e-05,,405,405
735.192,7.94e-05,,405,405
740.153,7.94e-05,,405,405
767.493,7.95e-05,,405,405
772.804,7.95e-05,,405,405
799.568,7.96e-05,,405,405
805.012,7.97e-05,,405,405
831.72,7.98e-05,,405,405
836.704,7.98e-05,,405,405
863.489,7.99e-05,,405,405
868.463,7.99e-05,,405,405
895.377,8e-05,,405,405
900.712,8e-05,,405,405
927.407,8.01e-05,,405,405
932.404,8.01e-05,,405,405
959.193,8.02e-05,,405,405
964.156,8.02e-05,,405,405
990.882,8.03e-05,,405,405
995.851,8.03e-05,,405,405
1022.65,8.04e-05,,405,405
1027.631,8.04e-05,,405,405
1054.387,8.05e-05,,405,405
1059.632,8.05e-05,,405,405
1086.546,8.06e-05,,405,405
1091.496,8.06e-05,,405,405
1118.294,8.07e-05,,405,405
1123.639,8.07e-05,,405,405
1150.324,8.07e-05,,405,405
1155.394,8.07e-05,,405,405
1182.134,8.08e-05,,405,405
1187.08,8.08e-05,,405,405
1214.204,8.09e-05,,405,405
1219.235,8.09e-05,,405,405
1245.886,8.1e-05,,405,405
1250.843,8.1e-05,,405,405
1277.537,8.11e-05,,405,405
1282.766,8.11e-05,,405,405
1309.445,8.12e-05,,405,405
1314.873,8.12e-05,,405,405
1342.393,8.13e-05,,405,405
1347.473,8.13e-05,,405,405
1374.157,8.13e-05,,405,405
1379.121,8.14e-05,,405,405
1405.838,8.14e-05,,405,405
1410.852,8.14e-05,,405,405
1437.55,8.15e-05,,405,405
1442.945,8.15e-05,,405,405
1469.741,8.16e-05,,405,405
1474.797,8.16e-05,,405,405
1501.581,8.17e-05,,405,405
1506.532,8.17e-05,,405,405
1533.36,8.17e-05,,405,405
1538.772,8.18e-05,,405,405
1565.467,8.18e-05,,405,405
1570.428,8.18e-05,,405,405
1597.178,8.19e-05,,405,405
1602.14,8.19e-05,,405,405
1628.847,8.2e-05,,405,405
1633.955,8.2e-05,,405,405
1660.725,8.2e-05,,405,405
1666.289,8.2e-05,,405,405
1693.014,8.21e-05,,405,405
1697.96,8.21e-05,,405,405
1724.787,8.22e-05,,405,405
1729.744,8.22e-05,,405,405
1756.426,8.23e-05,,405,405
1761.936,8.23e-05,,405,405
1788.616,8.23e-05,,405,405
1793.582,8.23e-05,,405,405
1820.594,8.24e-05,,405,405
1825.557,8.24e-05,,405,405
1852.768,8.24e-05,,405,405
1857.73,8.25e-05,,405,405
1885.079,8.25e-05,,405,405
1890.375,8.25e-05,,405,405
1917.346,8.26e-05,,405,405
1923.479,8.26e-05,,405,405
1950.45,8.27e-05,,405,405
1955.523,8.27e-05,,405,405
1983.295,8.27e-05,,405,405
1988.305,8.27e-05,,405,405
2015.441,8.28e-05,,405,405
2020.844,8.28e-05,,405,405
2047.767,8.29e-05,,405,405
2053.145,8.29e-05,,405,405
2080.159,8.29e-05,,405,405
2086.242,8.29e-05,,405,405
2113.294,8.3e-05,,405,405
2118.274,8.3e-05,,405,405
2145.628,8.31e-05,,405,405
2151.245,8.31e-05,,405,405
2178.005,8.31e-05,,405,405
2183.129,8.31e-05,,405,405
2210.016,8.32e-05,,405,405
2214.996,8.32e-05,,405,405
2243.489,8.33e-05,,405,405
2248.451,8.33e-05,,405,405
2275.61,8.33e-05,,405,405
2281.698,8.34e-05,,405,405
2309.672,8.34e-05,,405,405
2315.218,8.34e-05,,405,405
2342.22,8.35e-05,,405,405
2347.27,8.35e-05,,405,405
2374.676,8.35e-05,,405,405
2380.208,8.36e-05,,405,405
2407.079,8.36e-05,,405,405
2412.131,8.36e-05,,405,405
2439.47,8.36e-05,,405,405
2444.455,8.36e-05,,405,405
2471.943,8.37e-05,,405,405
2476.976,8.37e-05,,405,405
2503.983,8.37e-05,,405,405
2509.136,8.37e-05,,405,405
2535.819,8.38e-05,,405,405
2541.639,8.38e-05,,405,405
2568.563,8.38e-05,,405,405
2573.809,8.38e-05,,405,405
2600.606,8.39e-05,,405,405
2606.218,8.39e-05,,405,405
2634.357,8.4e-05,,405,405
2640.129,8.4e-05,,405,405
2666.893,8.41e-05,,405,405
2672.86,8.41e-05,,405,405
2700.519,8.41e-05,,405,405
2707.102,8.41e-05,,405,405
2734.054,8.41e-05,,405,405
2739.621,8.42e-05,,405,405
2766.489,8.42e-05,,405,405
2772.54,8.42e-05,,405,405
2799.234,8.42e-05,,405,405
