Time_(s),Current_(A),Current_Std_Dev_(A),Control_Temperature_(K),Sample_Temperature_(K)
1.002,6.52E-05,,400,400
15.301,6.52E-05,,400,400
31.637,6.52E-05,,400,400
47.52,6.53E-05,,400,400
63.466,6.54E-05,,400,400
79.464,6.55E-05,,400,400
95.76,6.56E-05,,400,400
113.27,6.56E-05,,400,400
129.283,6.56E-05,,400,400
145.195,6.57E-05,,400,400
161.071,6.57E-05,,400,400
177.112,6.58E-05,,400,400
193.721,6.59E-05,,400,400
209.589,6.59E-05,,400,400
225.531,6.59E-05,,400,400
241.514,6.59E-05,,400,400
257.851,6.60E-05,,400,400
274.444,6.60E-05,,400,400
290.902,6.61E-05,,400,400
306.889,6.62E-05,,400,400
322.943,6.62E-05,,400,400
338.862,6.62E-05,,400,400
354.895,6.63E-05,,400,400
371.513,6.63E-05,,400,400
388.074,6.64E-05,,400,400
403.989,6.64E-05,,400,400
419.88,6.65E-05,,400,400
435.705,6.65E-05,,400,400
451.699,6.65E-05,,400,400
467.562,6.66E-05,,400,400
483.434,6.66E-05,,400,400
499.935,6.67E-05,,400,400
515.8,6.67E-05,,400,400
532.157,6.68E-05,,400,400
548.061,6.68E-05,,400,400
564.191,6.69E-05,,400,400
580.283,6.69E-05,,400,400
596.345,6.69E-05,,400,400
612.502,6.70E-05,,400,400
628.498,6.70E-05,,400,400
644.547,6.71E-05,,400,400
661.652,6.71E-05,,400,400
677.66,6.71E-05,,400,400
693.967,6.72E-05,,400,400
709.936,6.72E-05,,400,400
725.926,6.73E-05,,400,400
741.785,6.73E-05,,400,400
757.754,6.74E-05,,400,400
773.691,6.74E-05,,400,400
790.004,6.74E-05,,400,400
805.914,6.75E-05,,400,400
821.788,6.75E-05,,400,400
837.76,6.76E-05,,400,400
853.522,6.77E-05,,400,400
869.541,6.77E-05,,400,400
885.44,6.77E-05,,400,400
902.001,6.77E-05,,400,400
917.692,6.78E-05,,400,400
933.799,6.78E-05,,400,400
949.707,6.79E-05,,400,400
965.835,6.79E-05,,400,400
981.511,6.79E-05,,400,400
997.497,6.80E-05,,400,400
1013.457,6.80E-05,,400,400
1029.36,6.81E-05,,400,400
1045.125,6.81E-05,,400,400
1060.821,6.81E-05,,400,400
1077.007,6.82E-05,,400,400
1092.959,6.82E-05,,400,400
1108.833,6.82E-05,,400,400
1124.812,6.83E-05,,400,400
1140.69,6.83E-05,,400,400
1156.658,6.83E-05,,400,400
1172.568,6.84E-05,,400,400
1188.5,6.84E-05,,400,400
1204.437,6.84E-05,,400,400
1220.72,6.85E-05,,400,400
1236.89,6.85E-05,,400,400
1253.215,6.85E-05,,400,400
1269.192,6.86E-05,,400,400
1285.155,6.86E-05,,400,400
1300.862,6.87E-05,,400,400
1317.406,6.87E-05,,400,400
1333.34,6.87E-05,,400,400
1349.25,6.88E-05,,400,400
1365.935,6.88E-05,,400,400
1382.414,6.88E-05,,400,400
1398.25,6.89E-05,,400,400
1414.472,6.89E-05,,400,400
1430.613,6.89E-05,,400,400
1446.917,6.90E-05,,400,400
