Time_(s),Current_(A),Current_Std_Dev_(A),Control_Temperature_(K),Sample_Temperature_(K)
1.003,6.45e-05,,405,405
20.146,6.47e-05,,405,405
36.085,6.48e-05,,405,405
57.546,6.49e-05,,405,405
79.299,6.5e-05,,405,405
179.932,6.54e-05,,405,405
206.571,6.56e-05,,405,405
227.551,6.57e-05,,405,405
243.404,6.57e-05,,405,405
259.975,6.58e-05,,405,405
281.53,6.59e-05,,405,405
297.914,6.59e-05,,405,405
308.205,6.59e-05,,405,405
329.546,6.6e-05,,405,405
350.784,6.61e-05,,405,405
372.055,6.61e-05,,405,405
387.902,6.62e-05,,405,405
413.941,6.62e-05,,405,405
435.311,6.64e-05,,405,405
461.701,6.65e-05,,405,405
482.644,6.66e-05,,405,405
509.68,6.66e-05,,405,405
636.163,6.72e-05,,405,405
660.038,6.72e-05,,405,405
684.649,6.74e-05,,405,405
721.622,6.75e-05,,405,405
746.167,6.76e-05,,405,405
780.915,6.78e-05,,405,405
813.943,6.79e-05,,405,405
837.343,6.8e-05,,405,405
885.656,6.81e-05,,405,405
908.396,6.82e-05,,405,405
929.466,6.83e-05,,405,405
955.836,6.83e-05,,405,405
1078.924,6.87e-05,,405,405
1103.77,6.88e-05,,405,405
1122.245,6.88e-05,,405,405
1152.896,6.89e-05,,405,405
1182.537,6.89e-05,,405,405
1206.36,6.91e-05,,405,405
1226.109,6.92e-05,,405,405
1253.709,6.92e-05,,405,405
1276.641,6.93e-05,,405,405
1300.418,6.93e-05,,405,405
1324.712,6.94e-05,,405,405
1351.603,6.95e-05,,405,405
1384.274,6.96e-05,,405,405
1409.499,6.97e-05,,405,405
1427.601,6.97e-05,,405,405
1457.425,6.97e-05,,405,405
1543.979,7e-05,,405,405
1566.527,7e-05,,405,405
1588.093,7.01e-05,,405,405
1610.899,7.01e-05,,405,405
1622.873,7.01e-05,,405,405
1649.751,7.02e-05,,405,405
1668.222,7.02e-05,,405,405
1686.008,7.01e-05,,405,405
1715.324,7.04e-05,,405,405
1738.418,7.04e-05,,405,405
1764.063,7.04e-05,,405,405
1792.94,7.04e-05,,405,405
1811.556,7.04e-05,,405,405
1828.736,7.04e-05,,405,405
1943.28,7.07e-05,,405,405
1976.564,7.08e-05,,405,405
2001.41,7.09e-05,,405,405
2023.992,7.09e-05,,405,405
2046.513,7.1e-05,,405,405
2068.196,7.05e-05,,405,405
2092.653,7.05e-05,,405,405
2121.775,7.07e-05,,405,405
2140.176,7.11e-05,,405,405
2167.956,7.13e-05,,405,405
2201.723,7.13e-05,,405,405
2225.277,7.13e-05,,405,405
2340.959,7.11e-05,,405,405
2361.706,7.11e-05,,405,405
2382.391,7.11e-05,,405,405
2403.46,7.12e-05,,405,405
2414.172,7.12e-05,,405,405
2430.755,7.12e-05,,405,405
2451.51,7.13e-05,,405,405
2473.353,7.13e-05,,405,405
2494.039,7.13e-05,,405,405
2514.511,7.13e-05,,405,405
2534.993,7.14e-05,,405,405
2555.999,7.14e-05,,405,405
2571.734,7.15e-05,,405,405
2593.062,7.16e-05,,405,405
2618.395,7.16e-05,,405,405
