Time_(s),Current_(A),Current_Std_Dev_(A),Control_Temperature_(K),Sample_Temperature_(K)
1.003,7.58e-05,,420,420
3.176,7.58e-05,,420,420
5.521,7.58e-05,,420,420
7.731,7.58e-05,,420,420
9.963,7.59e-05,,420,420
12.15,7.59e-05,,420,420
14.363,7.59e-05,,420,420
16.641,7.58e-05,,420,420
18.917,7.59e-05,,420,420
21.103,7.59e-05,,420,420
23.397,7.6e-05,,420,420
25.846,7.6e-05,,420,420
28.028,7.6e-05,,420,420
30.224,7.61e-05,,420,420
32.479,7.61e-05,,420,420
34.749,7.61e-05,,420,420
37.145,7.61e-05,,420,420
39.308,7.62e-05,,420,420
41.506,7.61e-05,,420,420
43.77,7.63e-05,,420,420
45.996,7.62e-05,,420,420
48.238,7.63e-05,,420,420
50.537,7.64e-05,,420,420
52.94,7.65e-05,,420,420
55.203,7.65e-05,,420,420
57.356,7.65e-05,,420,420
59.635,7.64e-05,,420,420
61.86,7.65e-05,,420,420
64.136,7.66e-05,,420,420
66.387,7.67e-05,,420,420
68.613,7.67e-05,,420,420
70.872,7.66e-05,,420,420
73.161,7.67e-05,,420,420
75.321,7.66e-05,,420,420
77.566,7.67e-05,,420,420
79.826,7.67e-05,,420,420
82.283,7.68e-05,,420,420
84.579,7.68e-05,,420,420
86.848,7.67e-05,,420,420
89.02,7.67e-05,,420,420
91.216,7.68e-05,,420,420
93.489,7.69e-05,,420,420
96.243,7.69e-05,,420,420
99.075,7.69e-05,,420,420
101.296,7.69e-05,,420,420
104.187,7.7e-05,,420,420
106.83,7.7e-05,,420,420
109.202,7.7e-05,,420,420
111.438,7.71e-05,,420,420
113.606,7.7e-05,,420,420
115.95,7.7e-05,,420,420
118.186,7.71e-05,,420,420
120.412,7.71e-05,,420,420
123.081,7.71e-05,,420,420
125.342,7.72e-05,,420,420
127.528,7.72e-05,,420,420
129.865,7.73e-05,,420,420
132.074,7.72e-05,,420,420
134.249,7.73e-05,,420,420
136.442,7.74e-05,,420,420
138.633,7.73e-05,,420,420
141.43,7.75e-05,,420,420
143.936,7.76e-05,,420,420
146.481,7.75e-05,,420,420
149.006,7.75e-05,,420,420
151.191,7.75e-05,,420,420
153.446,7.76e-05,,420,420
155.604,7.76e-05,,420,420
157.8,7.76e-05,,420,420
160.089,7.77e-05,,420,420
162.291,7.77e-05,,420,420
165.165,7.76e-05,,420,420
167.384,7.77e-05,,420,420
169.565,7.78e-05,,420,420
171.946,7.79e-05,,420,420
174.397,7.8e-05,,420,420
176.611,7.81e-05,,420,420
178.806,7.79e-05,,420,420
