Time_(s),Current_(A),Current_Std_Dev_(A),Control_Temperature_(K),Sample_Temperature_(K)
2530.894,9.39e-05,,407.5,407.5
2547.848,9.39e-05,,407.5,407.5
2564.21,9.39e-05,,407.5,407.5
2580.68,9.39e-05,,407.5,407.5
2597.596,9.39e-05,,407.5,407.5
2613.574,9.4e-05,,407.5,407.5
2629.482,9.4e-05,,407.5,407.5
2645.383,9.41e-05,,407.5,407.5
2661.968,9.41e-05,,407.5,407.5
2678.447,9.42e-05,,407.5,407.5
2694.991,9.42e-05,,407.5,407.5
2711.025,9.42e-05,,407.5,407.5
2727.236,9.42e-05,,407.5,407.5
2743.934,9.42e-05,,407.5,407.5
2759.822,9.43e-05,,407.5,407.5
2776.401,9.43e-05,,407.5,407.5
2792.826,9.44e-05,,407.5,407.5
2808.573,9.44e-05,,407.5,407.5
2825.138,9.45e-05,,407.5,407.5
2841.045,9.45e-05,,407.5,407.5
2857.424,9.45e-05,,407.5,407.5
2873.44,9.46e-05,,407.5,407.5
2889.491,9.45e-05,,407.5,407.5
2906.081,9.46e-05,,407.5,407.5
2922.315,9.46e-05,,407.5,407.5
2938.761,9.46e-05,,407.5,407.5
2954.748,9.47e-05,,407.5,407.5
2970.703,9.48e-05,,407.5,407.5
2986.67,9.48e-05,,407.5,407.5
3002.66,9.48e-05,,407.5,407.5
3018.787,9.48e-05,,407.5,407.5
3034.842,9.49e-05,,407.5,407.5
3050.821,9.49e-05,,407.5,407.5
3067.102,9.49e-05,,407.5,407.5
3084.132,9.5e-05,,407.5,407.5
3100.332,9.5e-05,,407.5,407.5
3117.129,9.5e-05,,407.5,407.5
3133.795,9.51e-05,,407.5,407.5
3151.452,9.51e-05,,407.5,407.5
3169.233,9.51e-05,,407.5,407.5
3187.991,9.51e-05,,407.5,407.5
3204.784,9.52e-05,,407.5,407.5
3222.621,9.52e-05,,407.5,407.5
3239.78,9.52e-05,,407.5,407.5
3259.73,9.53e-05,,407.5,407.5
3277.16,9.53e-05,,407.5,407.5
3293.973,9.54e-05,,407.5,407.5
3311.22,9.54e-05,,407.5,407.5
3327.847,9.54e-05,,407.5,407.5
3343.926,9.55e-05,,407.5,407.5
3360.662,9.55e-05,,407.5,407.5
3377.156,9.55e-05,,407.5,407.5
3393.628,9.56e-05,,407.5,407.5
3410.631,9.55e-05,,407.5,407.5
3427.843,9.56e-05,,407.5,407.5
3443.972,9.56e-05,,407.5,407.5
3460.636,9.57e-05,,407.5,407.5
3476.655,9.57e-05,,407.5,407.5
3493.793,9.57e-05,,407.5,407.5
3512.817,9.58e-05,,407.5,407.5
3530.618,9.58e-05,,407.5,407.5
3537.317,9.58e-05,,407.5,407.5
3565.062,9.59e-05,,407.5,407.5
3586.751,9.59e-05,,407.5,407.5
3602.785,9.59e-05,,407.5,407.5
3619.364,9.59e-05,,407.5,407.5
