Time_(s),Current_(A),Current_Std_Dev_(A),Control_Temperature_(K),Sample_Temperature_(K)
1943.86,0.0001589847,3.047786e-08,440.01,440.0
1960.68,0.0001589564,2.998592e-08,439.99,440.0
1977.68,0.0001591186,1.211677e-07,440.0,440.0
1994.25,0.000159144,5.560376e-08,440.01,440.0
2011.35,0.0001591319,2.66185e-08,440.0,440.0
2028.19,0.0001591521,1.391602e-08,440.0,440.0
2045.09,0.0001591715,2.463173e-08,440.01,440.0
2061.76,0.0001591961,4.123766e-08,439.99,440.0
2078.64,0.0001591232,2.684441e-08,440.0,440.0
2095.74,0.0001591995,1.719334e-08,440.0,440.0
2112.3,0.0001591623,6.038589e-08,440.0,440.0
2128.85,0.0001593966,1.84291e-07,440.0,440.0
2145.28,0.0001599201,1.532264e-07,440.01,440.0
2161.87,0.0001597599,1.489164e-07,440.0,440.0
2178.71,0.000159817,5.460566e-08,439.99,440.0
2195.38,0.0001597397,8.432747e-08,440.0,440.0
2212.05,0.0001594091,1.668156e-07,440.01,440.0
2228.71,0.0001592902,1.946757e-07,439.99,440.0
2245.47,0.000159215,9.702348e-08,440.0,440.0
2261.96,0.000159867,1.076104e-07,440.01,440.0
2278.78,0.0001599824,1.46447e-07,440.0,440.0
2295.26,0.0001600233,9.259356e-08,439.99,440.0
2312.04,0.0001600878,6.94355e-08,440.02,440.0
2328.52,0.0001599897,1.683885e-07,440.0,440.0
2345.2,0.0001601921,7.716857e-08,439.99,440.0
2362.13,0.0001600502,1.182801e-07,440.0,440.0
2378.65,0.0001599767,1.411721e-07,440.01,440.0
2395.53,0.0001599928,1.099473e-07,440.0,440.0
2412.03,0.0001599032,1.959007e-07,440.0,440.0
2429.04,0.0001598111,9.072602e-08,440.01,440.0
2445.76,0.0001597574,2.939085e-08,440.0,440.0
2462.79,0.0001598699,5.134729e-08,439.98,440.0
2479.54,0.0001600396,1.217276e-07,439.99,440.0
2496.36,0.0001598628,2.4857e-07,440.02,440.0
