Time_(s),Current_(A),Current_Std_Dev_(A),Control_Temperature_(K),Sample_Temperature_(K),Conductivity_(S/cm),Delta_T
4404.399,7.3e-05,,400,400,0.00073,0.5357142857142859
2360.746,7.06e-05,,400,400,0.0007059999999999,0.6785714285720241
9930.882,7.71e-05,,400,400,0.000771,0.29166666666666674
6093.039,7.5e-05,,400,400,0.0007499999999999,0.4166666666672616
9537.988,7.68e-05,,400,400,0.000768,0.30952380952380937
3468.119,7.21e-05,,400,400,0.000721,0.5892857142857145
1045.125,6.81e-05,,400,400,0.000681,0.8273809523809527
9157.299,7.67e-05,,400,400,0.0007669999999999,0.3154761904767855
4388.694,7.3e-05,,400,400,0.00073,0.5357142857142859
3838.067,7.25e-05,,400,400,0.000725,0.5654761904761908
7435.214,7.6e-05,,400,400,0.00076,0.3571428571428569
9554.05,7.69e-05,,400,400,0.0007689999999999,0.30357142857202396
7874.303,7.62e-05,,400,400,0.000762,0.3452380952380953
7272.206,7.59e-05,,400,400,0.000759,0.36309523809523797
9947.224,7.71e-05,,400,400,0.000771,0.29166666666666674
9060.282,7.66e-05,,400,400,0.000766,0.32142857142857156
5208.216,7.41e-05,,400,400,0.000741,0.4702380952380952
4791.137,7.36e-05,,400,400,0.000736,0.5
8762.785,7.65e-05,,400,400,0.000765,0.32738095238095266
6879.455,7.56e-05,,400,400,0.0007559999999999,0.3809523809529763
6896.409,7.56e-05,,400,400,0.0007559999999999,0.3809523809529763
5612.005,7.45e-05,,400,400,0.000745,0.4464285714285714
9337.671,7.68e-05,,400,400,0.000768,0.30952380952380937
2634.988,7.1e-05,,400,400,0.00071,0.6547619047619047
6862.674,7.56e-05,,400,400,0.0007559999999999,0.3809523809529763
2344.78,7.05e-05,,400,400,0.000705,0.6845238095238095
4583.286,7.33e-05,,400,400,0.000733,0.5178571428571427
8583.161,7.65e-05,,400,400,0.000765,0.32738095238095266
2682.948,7.11e-05,,400,400,0.0007109999999999,0.6488095238101192
8631.99,7.65e-05,,400,400,0.000765,0.32738095238095266
2168.263,7.03e-05,,400,400,0.000703,0.6964285714285717
6238.226,7.51e-05,,400,400,0.0007509999999999,0.4107142857148811
3660.273,7.23e-05,,400,400,0.0007229999999999,0.5773809523815474
2281.057,7.05e-05,,400,400,0.000705,0.6845238095238095
1156.658,6.83e-05,,400,400,0.000683,0.8154761904761905
3131.755,7.17e-05,,400,400,0.000717,0.6130952380952382
9570.024,7.69e-05,,400,400,0.0007689999999999,0.30357142857202396
