Time_(s),Current_(A),Current_Std_Dev_(A),Control_Temperature_(K),Sample_Temperature_(K),Conductivity_(S/cm),Delta_T
1.0,8.76e-05,1.35e-09,440,440,0.000876,1.0
2.452,8.76e-05,2.12e-09,440,440,0.000876,1.0
3.878,8.76e-05,1.25e-09,440,440,0.000876,1.0
5.263,8.76e-05,1.48e-09,440,440,0.000876,1.0
6.691,8.76e-05,1.14e-09,440,440,0.000876,1.0
8.05,8.76e-05,1.4e-09,440,440,0.000876,1.0
9.478,8.76e-05,2.37e-09,440,440,0.000876,1.0
10.882,8.76e-05,1.23e-09,440,440,0.000876,1.0
12.521,8.76e-05,3.34e-09,440,440,0.000876,1.0
14.029,8.76e-05,9.49e-10,440,440,0.000876,1.0
15.423,8.76e-05,1.29e-09,440,440,0.000876,1.0
16.805,8.76e-05,1.7e-09,440,440,0.000876,1.0
18.193,8.76e-05,2.22e-09,440,440,0.000876,1.0
19.582,8.76e-05,9.66e-10,440,440,0.000876,1.0
21.053,8.76e-05,2.41e-09,440,440,0.000876,1.0
22.516,8.76e-05,1.72e-09,440,440,0.000876,1.0
23.896,8.76e-05,1.78e-09,440,440,0.000876,1.0
25.269,8.76e-05,2.15e-09,440,440,0.000876,1.0
26.817,8.76e-05,3.46e-09,440,440,0.000876,1.0
28.406,8.77e-05,5.68e-10,440,440,0.000877,0.9903846153846162
29.997,8.77e-05,1.81e-09,440,440,0.000877,0.9903846153846162
31.512,8.77e-05,2.32e-09,440,440,0.000877,0.9903846153846162
33.112,8.77e-05,2.32e-09,440,440,0.000877,0.9903846153846162
34.684,8.77e-05,1.17e-09,440,440,0.000877,0.9903846153846162
36.073,8.77e-05,1.57e-09,440,440,0.000877,0.9903846153846162
37.446,8.77e-05,1.29e-09,440,440,0.000877,0.9903846153846162
38.979,8.77e-05,9.66e-10,440,440,0.000877,0.9903846153846162
40.421,8.77e-05,3.57e-09,440,440,0.000877,0.9903846153846162
41.984,8.77e-05,9.43e-10,440,440,0.000877,0.9903846153846162
