Time_(s),Current_(A),Current_Std_Dev_(A),Control_Temperature_(K),Sample_Temperature_(K),Conductivity_(S/cm),Delta_T
5.099,7.64e-05,,405,405,0.000764,1.0
31.82,7.65e-05,,405,405,0.000765,0.9942857142857148
36.804,7.65e-05,,405,405,0.000765,0.9942857142857148
63.49,7.67e-05,,405,405,0.0007669999999999,0.9828571428577143
68.451,7.67e-05,,405,405,0.0007669999999999,0.9828571428577143
95.259,7.69e-05,,405,405,0.0007689999999999,0.9714285714291432
100.254,7.69e-05,,405,405,0.0007689999999999,0.9714285714291432
126.919,7.71e-05,,405,405,0.000771,0.9600000000000003
131.884,7.71e-05,,405,405,0.000771,0.9600000000000003
158.616,7.71e-05,,405,405,0.000771,0.9600000000000003
163.57,7.71e-05,,405,405,0.000771,0.9600000000000003
190.358,7.72e-05,,405,405,0.000772,0.9542857142857144
195.362,7.73e-05,,405,405,0.0007729999999999,0.9485714285720004
222.146,7.74e-05,,405,405,0.000774,0.9428571428571433
227.319,7.74e-05,,405,405,0.000774,0.9428571428571433
254.216,7.75e-05,,405,405,0.000775,0.9371428571428574
259.174,7.75e-05,,405,405,0.000775,0.9371428571428574
286.035,7.77e-05,,405,405,0.000777,0.9257142857142857
291.266,7.77e-05,,405,405,0.000777,0.9257142857142857
318.214,7.78e-05,,405,405,0.0007779999999999,0.9200000000005717
323.192,7.78e-05,,405,405,0.0007779999999999,0.9200000000005717
350.299,7.79e-05,,405,405,0.000779,0.9142857142857146
355.246,7.8e-05,,405,405,0.00078,0.9085714285714288
382.315,7.81e-05,,405,405,0.000781,0.9028571428571429
387.566,7.81e-05,,405,405,0.000781,0.9028571428571429
414.271,7.82e-05,,405,405,0.000782,0.897142857142857
419.862,7.82e-05,,405,405,0.000782,0.897142857142857
446.727,7.83e-05,,405,405,0.000783,0.8914285714285718
451.676,7.83e-05,,405,405,0.000783,0.8914285714285718
478.556,7.84e-05,,405,405,0.000784,0.885714285714286
484.256,7.85e-05,,405,405,0.000785,0.8800000000000001
511.164,7.86e-05,,405,405,0.000786,0.8742857142857142
516.155,7.86e-05,,405,405,0.000786,0.8742857142857142
542.889,7.87e-05,,405,405,0.000787,0.8685714285714284
548.41,7.87e-05,,405,405,0.000787,0.8685714285714284
575.676,7.88e-05,,405,405,0.000788,0.8628571428571432
580.641,7.88e-05,,405,405,0.000788,0.8628571428571432
607.392,7.89e-05,,405,405,0.000789,0.8571428571428573
612.346,7.89e-05,,405,405,0.000789,0.8571428571428573
639.327,7.91e-05,,405,405,0.000791,0.8457142857142856
644.284,7.91e-05,,405,405,0.000791,0.8457142857142856
671.104,7.92e-05,,405,405,0.000792,0.8400000000000004
676.204,7.92e-05,,405,405,0.000792,0.8400000000000004
702.939,7.93e-05,,405,405,0.000793,0.8342857142857145
708.446,7.93e-05,,405,405,0.000793,0.8342857142857145
735.192,7.94e-05,,405,405,0.000794,0.8285714285714286
740.153,7.94e-05,,405,405,0.000794,0.8285714285714286
767.493,7.95e-05,,405,405,0.0007949999999999,0.8228571428577146
772.804,7.95e-05,,405,405,0.0007949999999999,0.8228571428577146
799.568,7.96e-05,,405,405,0.0007959999999999,0.8171428571434288
805.012,7.97e-05,,405,405,0.000797,0.8114285714285717
831.72,7.98e-05,,405,405,0.000798,0.8057142857142858
836.704,7.98e-05,,405,405,0.000798,0.8057142857142858
863.489,7.99e-05,,405,405,0.000799,0.8
868.463,7.99e-05,,405,405,0.000799,0.8
895.377,8e-05,,405,405,0.0008,0.7942857142857142
900.712,8e-05,,405,405,0.0008,0.7942857142857142
927.407,8.01e-05,,405,405,0.000801,0.7885714285714289
932.404,8.01e-05,,405,405,0.000801,0.7885714285714289
959.193,8.02e-05,,405,405,0.000802,0.782857142857143
964.156,8.02e-05,,405,405,0.000802,0.782857142857143
990.882,8.03e-05,,405,405,0.000803,0.7771428571428572
995.851,8.03e-05,,405,405,0.000803,0.7771428571428572
9914.174,8.96e-05,,405,405,0.000896,0.2457142857142856
2342.22,8.35e-05,,405,405,0.000835,0.5942857142857142
9505.394,8.94e-05,,405,405,0.000894,0.2571428571428567
6408.72,8.79e-05,,405,405,0.000879,0.3428571428571427
3158.701,8.47e-05,,405,405,0.000847,0.5257142857142857
6669.363,8.81e-05,,405,405,0.000881,0.3314285714285716
8036.504,8.88e-05,,405,405,0.000888,0.2914285714285712
7096.835,8.83e-05,,405,405,0.000883,0.3199999999999999
2347.27,8.35e-05,,405,405,0.000835,0.5942857142857142
4239.368,8.61e-05,,405,405,0.000861,0.4457142857142856
4174.939,8.6e-05,,405,405,0.00086,0.45142857142857146
1182.134,8.08e-05,,405,405,0.000808,0.7485714285714286
2374.676,8.35e-05,,405,405,0.000835,0.5942857142857142
6277.072,8.78e-05,,405,405,0.000878,0.34857142857142853
5366.831,8.71e-05,,405,405,0.000871,0.3885714285714283
7937.283,8.88e-05,,405,405,0.000888,0.2914285714285712
9532.574,8.95e-05,,405,405,0.000895,0.25142857142857145
1118.294,8.07e-05,,405,405,0.000807,0.7542857142857143
9765.134,8.95e-05,,405,405,0.000895,0.25142857142857145
7450.407,8.86e-05,,405,405,0.000886,0.30285714285714294
8522.924,8.91e-05,,405,405,0.000891,0.27428571428571424
4396.1,8.62e-05,,405,405,0.0008619999999999,0.4400000000005716
9793.244,8.95e-05,,405,405,0.000895,0.25142857142857145
4589.883,8.65e-05,,405,405,0.000865,0.4228571428571428
2183.129,8.31e-05,,405,405,0.000831,0.617142857142857
2145.628,8.31e-05,,405,405,0.000831,0.617142857142857
4071.902,8.59e-05,,405,405,0.000859,0.4571428571428573
9799.484,8.95e-05,,405,405,0.000895,0.25142857142857145
6994.157,8.82e-05,,405,405,0.000882,0.32571428571428573
5076.969,8.69e-05,,405,405,0.000869,0.4
9309.874,8.94e-05,,405,405,0.000894,0.2571428571428567
1501.581,8.17e-05,,405,405,0.0008169999999999,0.6971428571434289
7319.734,8.85e-05,,405,405,0.0008849999999999,0.308571428572
7417.982,8.85e-05,,405,405,0.0008849999999999,0.308571428572
2275.61,8.33e-05,,405,405,0.000833,0.6057142857142859
3522.382,8.52e-05,,405,405,0.000852,0.49714285714285705
7514.425,8.86e-05,,405,405,0.000886,0.30285714285714294
3130.052,8.47e-05,,405,405,0.000847,0.5257142857142857
1054.387,8.05e-05,,405,405,0.000805,0.7657142857142855
2281.698,8.34e-05,,405,405,0.0008339999999999,0.6000000000005712
9336.604,8.93e-05,,405,405,0.000893,0.26285714285714257
5178.359,8.7e-05,,405,405,0.00087,0.39428571428571413
3228.195,8.48e-05,,405,405,0.000848,0.5199999999999999
4853.067,8.67e-05,,405,405,0.000867,0.4114285714285711
7877.392,8.88e-05,,405,405,0.000888,0.2914285714285712
5049.929,8.69e-05,,405,405,0.000869,0.4
8360.442,8.9e-05,,405,405,0.00089,0.28000000000000014
9272.224,8.93e-05,,405,405,0.000893,0.26285714285714257
6054.589,8.76e-05,,405,405,0.000876,0.35999999999999965
7351.692,8.85e-05,,405,405,0.0008849999999999,0.308571428572
8171.329,8.89e-05,,405,405,0.000889,0.28571428571428537
5625.706,8.73e-05,,405,405,0.000873,0.37714285714285717
