Time_(s),Current_(A),Current_Std_Dev_(A),Control_Temperature_(K),Sample_Temperature_(K),Conductivity_(S/cm),Delta_T
1.002,4.75e-05,,410,410,0.000475,1.0
4.236,4.75e-05,,410,410,0.000475,1.0
8.079,4.76e-05,,410,410,0.0004759999999999,0.9966101694918644
11.213,4.76e-05,,410,410,0.0004759999999999,0.9966101694918644
14.283,4.76e-05,,410,410,0.0004759999999999,0.9966101694918644
18.48,4.77e-05,,410,410,0.000477,0.9932203389830508
22.28,4.77e-05,,410,410,0.000477,0.9932203389830508
25.523,4.77e-05,,410,410,0.000477,0.9932203389830508
28.973,4.77e-05,,410,410,0.000477,0.9932203389830508
32.339,4.78e-05,,410,410,0.000478,0.9898305084745762
36.075,4.78e-05,,410,410,0.000478,0.9898305084745762
40.099,4.78e-05,,410,410,0.000478,0.9898305084745762
43.389,4.78e-05,,410,410,0.000478,0.9898305084745762
46.65,4.78e-05,,410,410,0.000478,0.9898305084745762
49.579,4.79e-05,,410,410,0.000479,0.9864406779661017
52.244,4.79e-05,,410,410,0.000479,0.9864406779661017
54.907,4.79e-05,,410,410,0.000479,0.9864406779661017
57.563,4.79e-05,,410,410,0.000479,0.9864406779661017
60.252,4.79e-05,,410,410,0.000479,0.9864406779661017
62.93,4.79e-05,,410,410,0.000479,0.9864406779661017
65.567,4.79e-05,,410,410,0.000479,0.9864406779661017
68.443,4.79e-05,,410,410,0.000479,0.9864406779661017
71.097,4.79e-05,,410,410,0.000479,0.9864406779661017
73.765,4.8e-05,,410,410,0.00048,0.983050847457627
76.437,4.8e-05,,410,410,0.00048,0.983050847457627
79.181,4.8e-05,,410,410,0.00048,0.983050847457627
81.839,4.8e-05,,410,410,0.00048,0.983050847457627
84.661,4.8e-05,,410,410,0.00048,0.983050847457627
87.529,4.8e-05,,410,410,0.00048,0.983050847457627
90.27,4.8e-05,,410,410,0.00048,0.983050847457627
92.98,4.8e-05,,410,410,0.00048,0.983050847457627
95.665,4.8e-05,,410,410,0.00048,0.983050847457627
98.525,4.81e-05,,410,410,0.000481,0.9796610169491526
584.042,5.01e-05,,410,410,0.0005009999999999,0.9118644067800001
469.519,4.96e-05,,410,410,0.000496,0.9288135593220338
650.098,5.03e-05,,410,410,0.000503,0.9050847457627119
127.262,4.82e-05,,410,410,0.000482,0.9762711864406779
393.882,4.93e-05,,410,410,0.000493,0.9389830508474578
434.366,4.95e-05,,410,410,0.000495,0.9322033898305084
813.577,5.06e-05,,410,410,0.0005059999999999,0.8949152542376272
542.495,4.99e-05,,410,410,0.000499,0.9186440677966102
730.728,5.02e-05,,410,410,0.000502,0.9084745762711866
970.386,5.11e-05,,410,410,0.000511,0.8779661016949154
647.431,5.03e-05,,410,410,0.000503,0.9050847457627119
354.331,4.91e-05,,410,410,0.000491,0.9457627118644067
883.455,5.08e-05,,410,410,0.000508,0.888135593220339
337.852,4.91e-05,,410,410,0.000491,0.9457627118644067
616.792,5.02e-05,,410,410,0.000502,0.9084745762711866
849.811,5.07e-05,,410,410,0.000507,0.8915254237288137
453.344,4.95e-05,,410,410,0.000495,0.9322033898305084
321.498,4.9e-05,,410,410,0.00049,0.9491525423728814
173.179,4.84e-05,,410,410,0.0004839999999999,0.9694915254240678
116.519,4.81e-05,,410,410,0.000481,0.9796610169491526
669.802,5.04e-05,,410,410,0.000504,0.9016949152542373
256.129,4.87e-05,,410,410,0.0004869999999999,0.959322033898644
231.296,4.86e-05,,410,410,0.000486,0.9627118644067797
950.716,5.1e-05,,410,410,0.00051,0.8813559322033897
933.482,5.1e-05,,410,410,0.00051,0.8813559322033897
420.715,4.94e-05,,410,410,0.000494,0.9355932203389832
261.704,4.88e-05,,410,410,0.000488,0.9559322033898305
318.844,4.9e-05,,410,410,0.00049,0.9491525423728814
644.708,5.03e-05,,410,410,0.000503,0.9050847457627119
810.906,5.06e-05,,410,410,0.0005059999999999,0.8949152542376272
404.582,4.93e-05,,410,410,0.000493,0.9389830508474578
680.786,5.05e-05,,410,410,0.000505,0.8983050847457626
277.981,4.88e-05,,410,410,0.000488,0.9559322033898305
683.466,5.05e-05,,410,410,0.000505,0.8983050847457626
792.11,5.05e-05,,410,410,0.000505,0.8983050847457626
581.373,5.01e-05,,410,410,0.0005009999999999,0.9118644067800001
911.296,5.09e-05,,410,410,0.000509,0.8847457627118643
195.82,4.85e-05,,410,410,0.0004849999999999,0.9661016949155932
501.007,4.97e-05,,410,410,0.000497,0.9254237288135592
559.905,5e-05,,410,410,0.0005,0.9152542372881356
945.257,5.1e-05,,410,410,0.00051,0.8813559322033897
220.632,4.86e-05,,410,410,0.000486,0.9627118644067797
956.738,5.1e-05,,410,410,0.00051,0.8813559322033897
988.012,5.14e-05,,410,410,0.000514,0.8677966101694914
